SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
405041125,Moonta,Critical,Moderate,shap_irsd_score,0.0483870361827916,IRSD (Disadvantage),0.0483870361827916,1,3
405041126,Wallaroo,Critical,Moderate,shap_irsd_score,0.1077080805060226,IRSD (Disadvantage),0.1077080805060226,1,3
405041127,Yorke Peninsula - North,Critical,Moderate,shap_irsd_score,0.094255177737117,IRSD (Disadvantage),0.094255177737117,1,3
405041128,Yorke Peninsula - South,Critical,Moderate,shap_irsd_score,0.0746600860102947,IRSD (Disadvantage),0.0746600860102947,1,3
406011129,Ceduna,Moderate,Low,shap_irsd_score,0.0017133607995562,IRSD (Disadvantage),0.0017133607995562,3,4
406011130,Eyre Peninsula,Moderate,Low,shap_irsd_score,-0.0282991690106805,IRSD (Disadvantage),0.0282991690106805,3,4
406011131,Kimba - Cleve - Franklin Harbour,High,Low,shap_irsd_score,-0.0183659940659304,IRSD (Disadvantage),0.0183659940659304,2,4
406011132,Le Hunte - Elliston,High,Low,shap_irsd_score,-0.0182592680662718,IRSD (Disadvantage),0.0182592680662718,2,4
406011133,Port Lincoln,Moderate,Low,shap_irsd_score,-0.0016823596250029,IRSD (Disadvantage),0.0016823596250029,3,4
406011134,West Coast (SA),High,Low,shap_irsd_score,0.0078078396033238,IRSD (Disadvantage),0.0078078396033238,2,4
406011135,Western,Moderate,Low,shap_irsd_score,0.0722724792232669,IRSD (Disadvantage),0.0722724792232669,3,4
406011136,Whyalla,High,Low,shap_irsd_score,0.0142737184439244,IRSD (Disadvantage),0.0142737184439244,2,4
406021138,APY Lands,High,Low,shap_irsd_score,0.0932321164355434,IRSD (Disadvantage),0.0932321164355434,2,4
406021140,Quorn - Lake Gilles,High,Moderate,shap_irsd_score,0.0016507738830585,IRSD (Disadvantage),0.0016507738830585,2,3
406021141,Outback,High,Low,shap_irsd_score,-0.0024456998645631,IRSD (Disadvantage),0.0024456998645631,2,4
406021142,Port Augusta,Moderate,Low,shap_irsd_score,0.0081741572009583,IRSD (Disadvantage),0.0081741572009583,3,4
406021143,Roxby Downs,Low,Low,shap_irsd_score,-0.0798713160735645,IRSD (Disadvantage),0.0798713160735645,4,4
407011144,Goolwa - Port Elliot,Critical,Moderate,shap_irsd_score,-0.0052557875313189,IRSD (Disadvantage),0.0052557875313189,1,3
407011145,Kangaroo Island,High,Moderate,shap_irsd_score,-0.0113227957821106,IRSD (Disadvantage),0.0113227957821106,2,3
407011146,Strathalbyn,Moderate,Low,shap_irsd_score,-0.0059269230682908,IRSD (Disadvantage),0.0059269230682908,3,4
407011147,Strathalbyn Surrounds,Moderate,Low,shap_irsd_score,-0.0211837013410583,IRSD (Disadvantage),0.0211837013410583,3,4
407011148,Victor Harbor,Critical,Moderate,shap_irsd_score,0.0835518634959493,IRSD (Disadvantage),0.0835518634959493,1,3
407011149,Yankalilla,High,Moderate,shap_irsd_score,-0.0208400290844098,IRSD (Disadvantage),0.0208400290844098,2,3
407021150,Grant,Moderate,Low,shap_irsd_score,-0.0192770503280369,IRSD (Disadvantage),0.0192770503280369,3,4
407021151,Kingston - Robe,High,Low,shap_irsd_score,-0.019105396593159,IRSD (Disadvantage),0.019105396593159,2,4
407021152,Millicent,Critical,Moderate,shap_irsd_score,0.094979644407041,IRSD (Disadvantage),0.094979644407041,1,3
407021154,Naracoorte,Moderate,Low,shap_irsd_score,0.0063413037594565,IRSD (Disadvantage),0.0063413037594565,3,4
407021155,Naracoorte Surrounds,Moderate,Low,shap_irsd_score,-0.0344577408519614,IRSD (Disadvantage),0.0344577408519614,3,4
