SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
403021061,Mitchell Park,Marion,Adelaide - South,16516.0,7.5686,SA Water,,False,True,959.0,3.0,957.0,4.0,914.0,2.0,999.0,6.0,1307,67964,77652.0,472.63,787.03,1160.23,1343.83,1160.23,0.014941,0.010135,0.014941,0.017306,Low,Moderate,22.9,1.5538,2459.5624,0.8182,Critical
403021062,Morphettville,Marion,Adelaide - South,16531.0,6.2005,SA Water,,False,True,1005.0,5.0,1000.0,6.0,960.0,3.0,1022.0,7.0,1554,80808,92327.0,472.63,787.03,1160.23,1343.83,1160.23,0.012567,0.008524,0.012567,0.014555,Low,Moderate,22.9,1.1716,2341.7083,0.6307,High
403021063,Sheidow Park - Trott Park,Marion,Adelaide - South,10211.0,9.3899,SA Water,,False,True,1058.0,8.0,1011.0,6.0,1057.0,8.0,987.0,5.0,1922,99944,114190.0,472.63,787.03,1160.23,1343.83,1160.23,0.010161,0.006892,0.010161,0.011768,Low,Low,3.5,0.4357,2126.8117,0.0966,Low
403021064,Warradale,Marion,Adelaide - South,16190.0,6.0145,SA Water,,False,True,984.0,4.0,977.0,5.0,939.0,2.0,1013.0,6.0,1421,73892,84425.0,472.63,787.03,1160.23,1343.83,1160.23,0.013743,0.009322,0.013743,0.015917,Low,Moderate,22.5,1.3609,2394.0788,0.7443,High
403031065,Belair,Mitcham,Adelaide - South,4896.0,24.7761,SA Water,,False,True,1106.0,10.0,1102.0,9.0,1097.0,10.0,1123.0,9.0,2273,118196,135044.0,472.63,787.03,1160.23,1343.83,1160.23,0.008591,0.005828,0.008591,0.009951,Low,Low,1.7,0.3371,2049.2616,0.0284,Low
403031066,Bellevue Heights,Mitcham,Adelaide - South,7608.0,8.7154,SA Water,,False,True,1060.0,8.0,1048.0,8.0,1026.0,7.0,1071.0,8.0,1764,91728,104803.0,472.63,787.03,1160.23,1343.83,1160.23,0.011071,0.00751,0.011071,0.012822,Low,Low,2.6,0.4928,2191.0721,0.2244,Low
403031067,Blackwood,Mitcham,Adelaide - South,12963.0,16.928,SA Water,,False,True,1094.0,10.0,1085.0,9.0,1082.0,9.0,1104.0,9.0,2114,109928,125597.0,472.63,787.03,1160.23,1343.83,1160.23,0.009238,0.006266,0.009238,0.0107,Low,Low,4.5,0.3778,2077.671,0.0455,Low
403031068,Colonel Light Gardens,Mitcham,Adelaide - South,15842.0,6.761,SA Water,,False,True,1064.0,8.0,1063.0,8.0,1033.0,7.0,1081.0,8.0,2006,104312,119181.0,472.63,787.03,1160.23,1343.83,1160.23,0.009735,0.006604,0.009735,0.011276,Low,Low,5.5,0.409,2176.2246,0.196,Low
403031069,Mitcham (SA),Mitcham,Adelaide - South,16506.0,11.4472,SA Water,,False,True,1087.0,10.0,1100.0,9.0,1059.0,8.0,1125.0,9.0,2203,114556,130885.0,472.63,787.03,1160.23,1343.83,1160.23,0.008864,0.006013,0.008864,0.010267,Low,Low,5.7,0.3543,2122.7951,0.0909,Low
403031070,Panorama,Mitcham,Adelaide - South,8475.0,5.7425,SA Water,,False,True,1033.0,7.0,1023.0,7.0,998.0,5.0,1048.0,8.0,1518,78936,90188.0,472.63,787.03,1160.23,1343.83,1160.23,0.012865,0.008727,0.012865,0.0149,Low,Moderate,11.8,1.2196,2252.5451,0.3807,Moderate
